category,issue_examples,to,cc1,cc2,cc3,entities_required
patta_transfer,patta transfer pending;patta transfer not completed;mutation pending after sale deed;patta not transferred after registration;sale deed registered but patta not changed;patta transfer after inheritance;patta transfer after legal heir certificate;patta transfer after settlement deed;patta transfer after gift deed;patta transfer after partition deed;patta transfer after court decree;online patta transfer pending;patta transfer application rejected;wrong owner name in patta;patta transfer after death of owner;delay by Tahsildar;patta mutation not updated;patta transferred to wrong person;duplicate patta after transfer;appeal against patta transfer rejection;registered document but patta unchanged;patta transfer after release deed;joint owner not reflected;patta transfer after divorce settlement;patta transfer after family arrangement;mutation after decree pending;patta transfer file missing;patta transfer status not updated;e-service patta transfer pending;revenue records not updated,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk;document_number
patta_subdivision,subdivision application pending;patta subdivision after partition;subdivision after sale;subdivision after inheritance;subdivision after family settlement;subdivision sketch not issued;FMB not updated after subdivision;delay in subdivision;survey not conducted for subdivision;separate patta not issued;subdivision rejected;incorrect subdivision boundary;wrong extent after subdivision;land split not reflected in records;online subdivision pending;subdivision after court decree;subdivision file missing;subdivision objection;subdivision appeal;survey stones not fixed after subdivision;new survey number not allotted;mutation pending after subdivision;subdivision after gift deed;subdivision after release deed;subdivision after exchange deed;joint property subdivision;patta not split;subdivision measurement incorrect;subdivision approval delayed;records not updated after subdivision,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk
patta_joint_patta,joint patta request;add co-owner in patta;remove co-owner from patta;joint patta after inheritance;joint patta after partition;joint patta after settlement deed;spouse name not added;children names omitted;brother name missing;co-owner omitted;joint patta correction;duplicate joint patta;objection to joint patta;joint patta rejected;online joint patta pending;joint ownership not reflected;mutation for joint owners pending;patta issued only to one heir;legal heir names omitted;joint patta after gift deed;joint patta after release deed;wrong share mentioned;incorrect owner names;joint patta appeal;joint patta cancelled wrongly;survey completed but joint patta not issued;family property joint patta;joint patta file pending;revenue record mismatch;joint patta after court order,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk;co_owner_names
patta_cancellation,cancel wrong patta;fake patta;forged patta;fraudulent patta;patta issued to wrong person;duplicate patta;illegal patta;patta obtained using fake sale deed;patta obtained using fake legal heir certificate;patta obtained by impersonation;patta cancellation after court decree;patta cancellation request pending;patta cancellation rejected;wrong survey number in patta;encroachment patta cancellation;objection to patta;patta transferred illegally;patta issued without notice;false ownership in patta;revenue fraud;wrong mutation;patta created using forged documents;patta cancellation after appeal;cancel fraudulent mutation;patta correction before cancellation;illegal subdivision patta;patta issued for government land;patta issued on poromboke;patta review petition;DRO revision against patta,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk
land_survey,survey request;resurvey request;land measurement;boundary survey;survey pending;survey delayed;survey not conducted;private land survey;government survey;survey after registration;survey after inheritance;survey after partition;survey after settlement deed;survey after gift deed;survey after court order;survey objection;survey sketch not issued;FMB mismatch;survey stones missing;boundary dispute;neighbor encroachment survey;incorrect measurement;wrong survey number;survey report correction;online survey application pending;resurvey after encroachment;measurement differs from document;survey appeal;survey file missing;survey record correction,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;village;taluk
boundary_fixing,boundary fixing request;boundary stones missing;boundary dispute;neighbor shifted boundary stone;boundary measurement incorrect;boundary demarcation pending;land boundary not fixed;survey boundary mismatch;encroachment due to boundary issue;government boundary demarcation;field boundary dispute;boundary after partition;boundary after inheritance;boundary after sale;boundary after settlement deed;boundary after court order;re-fix boundary;old boundary stones removed;boundary correction;boundary appeal;common pathway boundary;agricultural land boundary;house site boundary;compound wall boundary dispute;surveyor not fixing boundary;wrong boundary sketch;FMB boundary mismatch;village map mismatch;subdivision boundary issue;survey boundary correction,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;village;taluk
fmb_copy,FMB copy request;FMB sketch not issued;certified FMB copy pending;FMB copy delayed;online FMB request pending;FMB sketch incorrect;FMB lost;duplicate FMB copy;survey sketch required;FMB for court case;FMB for bank loan;FMB for patta transfer;FMB for registration;FMB after subdivision;FMB correction;FMB measurement mismatch;village map copy;land sketch request;field map unavailable;FMB not traceable;old FMB required;digital FMB unavailable;survey office not issuing FMB;FMB application rejected;FMB appeal;FMB illegible copy;missing survey sketch;wrong FMB issued;survey records incomplete;land records map request,Tahsildar,Revenue Divisional Officer,District Revenue Officer,DistrictCollector,survey_number;village;taluk
chitta_adangal_correction,wrong chitta;wrong adangal;owner name correction;extent correction;survey number correction;land classification correction;crop details incorrect;adangal not updated;chitta not updated after registration;mutation not reflected;wrong patta number;wrong village name;wrong taluk;duplicate chitta entry;missing land record;incorrect ownership;inheritance not updated;settlement deed not reflected;gift deed not reflected;partition not updated;court order not implemented;online chitta error;A-register mismatch;FMB mismatch;land extent mismatch;application pending;correction rejected;revenue record appeal;digitization error;manual records mismatch,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk
a_register_correction,A-register correction;wrong owner;wrong survey number;wrong extent;land classification incorrect;government land shown wrongly;private land shown as poromboke;poromboke shown as patta land;village record correction;A-register not updated after mutation;registration not reflected;inheritance correction;partition correction;settlement deed correction;gift deed correction;court decree correction;digitization error;manual register mismatch;application pending;application rejected;incorrect village entry;incorrect taluk entry;land tax record mismatch;patta mismatch;FMB mismatch;revenue appeal;duplicate entry;missing entry;wrong subdivision;land description correction,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk
land_classification_change,convert nanjai to punjai;convert punjai to house site;land classification correction;wrong land classification;agricultural land classification;residential conversion;commercial land conversion;patta land shown as waterbody;patta land shown as poromboke;land use correction;reclassification pending;reclassification rejected;court order for reclassification;DTCP approval not reflected;classification after acquisition release;land tax category correction;classification appeal;village account correction;revenue records correction;land conversion permission;change dry land classification;change wet land classification;survey classification mismatch;revenue record mismatch;classification after subdivision;wrong crop land classification;urban land classification;house site patta classification;government order implementation pending;land status correction,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;patta_number;village;taluk
